cruise,cast,niskin,replicate_chl,vol_filtered,filter_size,Fs,r,fo,fa,blank,fo_blank,fa_blank,chl,phaeo
en644,17',8-12',b,152,>10&<200,0.79591678,2.182214006,2.79,2.39,0.844,1.946,1.546,0.0231972526851911,0.0827969596170292
en644,17',8-12',c,152,>10&<200,0.79591678,2.182214006,5.12,3.83,0.844,4.276,2.986,0.0748111399097412,0.129909893683033
en644,17',15-17',a,152,>0&<200,0.79591678,2.182214006,7.07,4.82,0.844,6.226,3.976,0.1304845463542,0.142111176875831
en644,17',15-17',b,152,>0&<200,0.79591678,2.182214006,7.61,4.64,0.844,6.766,3.796,0.172239601187544,0.0880152693811678
en644,17',15-17',c,152,>0&<200,0.79591678,2.182214006,7.48,5.01,0.844,6.636,4.166,0.143243035331055,0.142379143485924
en644,17',15-17',a,152,>10&<200,0.79591678,2.182214006,1.37,1.07,0.844,0.526,0.226,0.0173979395138933,-0.00190331339468129
en644,17',15-17',b,152,>10&<200,0.79591678,2.182214006,1.5,1.18,0.844,0.656,0.336,0.0185578021481529,0.0044784561529765
en644,17',15-17',c,152,>10&<200,0.79591678,2.182214006,1.35,1.15,0.844,0.506,0.306,0.0115986263425956,0.00938082318164726
en644,17',19-20-21',a,152,>0&<200,0.79591678,2.182214006,5.69,3.85,0.844,4.846,3.006,0.106707362351879,0.0993848770921534
en644,17',19-20-21',b,152,>0&<200,0.79591678,2.182214006,5.71,3.71,0.844,4.866,2.866,0.115986263425955,0.0805075350592731
en644,17',19-20-21',c,152,>0&<200,0.79591678,2.182214006,6.07,4.18,0.844,5.226,3.336,0.109607018937528,0.119110117052257
en644,17',19-20-21',a,152,>10&<200,0.79591678,2.182214006,1.47,1.19,0.844,0.626,0.346,0.0162380768796338,0.00748378434712446
en644,17',19-20-21',b,152,>10&<200,0.79591678,2.182214006,2.09,1.59,0.844,1.246,0.746,0.0289965658564889,0.0221494123954234
en644,17',19-20-21',c,152,>10&<200,0.79591678,2.182214006,1.5,1.17,0.844,0.656,0.326,0.0191377334652826,0.00321292191021787
en649,1',16-17-18',a,152,>0&<200,0.33182747,2.18953457,368,204,2.13,365.87,201.96,3.95184759224166,1.84026728511894
